folder,category,time_scope,description
AuctionRevenue_12.1.A_r3,Market Data,Monthly,Auction Revenue (12.1.A)
EnergyPrices_12.1.D_r3,Market Data,Monthly,Day-Ahead Energy Prices (12.1.D)
FlowBasedAllocationsCongestionIncome_12.1.E_r3,Market Data,Monthly,Flow-Based Allocations Congestion Income (12.1.E)
FlowBasedCapacityAllocation_11.1.B_r3,Market Data,Monthly,Flow-Based Capacity Allocation (11.1.B)
PowerTransferDistributionFactors_11.1.B_r3,Market Data,Monthly,Power Transfer Distribution Factors (11.1.B)
ImplicitAllocationsCongestionIncome_12.1.E_r3,Market Data,Monthly,Implicit Allocations Congestion Income (12.1.E)
ImplicitAllocationsNetPositions_12.1.E_r3,Market Data,Monthly,Implicit Allocations Net Positions (12.1.E)
OfferedTransferCapacitiesContinuous_11.1_r3,Market Data,Monthly,Offered Transfer Capacities Continuous (11.1)
OfferedTransferCapacitiesContinuousEvolution_11.1_r3,Market Data,Daily,Offered Transfer Capacities Continuous Evolution (11.1)
OfferedTransferCapacitiesExplicit_11.1_r3,Market Data,Monthly,Offered Transfer Capacities Explicit (11.1)
OfferedTransferCapacitiesImplicit_11.1_r3,Market Data,Monthly,Offered Transfer Capacities Implicit (11.1)
TotalCapacityAlreadyAllocated_12.1.C_r3,Market Data,Monthly,Total Capacity Already Allocated (12.1.C)
TotalCapacityNominated_12.1.B_r3,Market Data,Monthly,Total Capacity Nominated (12.1.B)
TransferCapacitiesAllocatedWithThirdCountries_12.1.H_r3,Market Data,Monthly,Transfer Capacities Allocated With Third Countries (12.1.H)
UseOfTransferCapacity_12.1.A_r3,Market Data,Monthly,Use Of Transfer Capacity (12.1.A)
ActualTotalLoad_6.1.A_r3,Load Data,Monthly,Actual Total Load (6.1.A)
DayAheadTotalLoadForecast_6.1.B_r3,Load Data,Monthly,Day-Ahead Total Load Forecast (6.1.B)
TotalLoadForecast_6.1.C_D_E_r3,Load Data,Monthly,Total Load Forecast (6.1.C/D/E)
YearAheadForecastMargin_8.1_r3,Load Data,All,Year-Ahead Forecast Margin (8.1)
ActualGenerationOutputPerGenerationUnit_16.1.A_r2.1,Generation Data,Monthly,Actual Generation Output Per Generation Unit (16.1.A)
AggregatedFillingRateOfWaterReservoirsAndHydroStoragePlants_16.1.D_r3,Generation Data,Yearly,Aggregated Filling Rate Of Water Reservoirs And Hydro Storage Plants (16.1.D)
AggregatedGenerationPerType_16.1.B_C_r3,Generation Data,Monthly,Aggregated Generation Per Type (16.1.B&C)
DayAheadAggregatedGeneration_14.1.C_r3,Generation Data,Monthly,Day-Ahead Aggregated Generation (14.1.C)
GenerationForecastsForWindAndSolar_14.1.D_r3,Generation Data,Monthly,Generation Forecasts For Wind And Solar (14.1.D)
InstalledGenerationCapacityAggregated_14.1.A_r3,Generation Data,All,Installed Generation Capacity Aggregated (14.1.A)
InstalledGenerationCapacityPerProductionUnit_14.1.B_r3,Generation Data,Yearly,Installed Generation Capacity Per Production Unit (14.1.B)
ProductionAndGenerationUnits_r2,Generation Data,All,Production And Generation Units (r2)
ProductionAndGenerationUnits_r3,Generation Data,All,Production And Generation Units (r3)
CommercialSchedules_12.1.F_r3,Transmission Data,Monthly,Commercial Schedules (12.1.F)
CommercialSchedulesNetPositions_12.1.F_r3,Transmission Data,Monthly,Commercial Schedules Net Positions (12.1.F)
CostsOfCongestionManagement_13.1.C_r3,Transmission Data,Yearly,Costs Of Congestion Management (13.1.C)
Countertrading_13.1.B_r2.1,Transmission Data,Monthly,Countertrading (13.1.B) r2.1
Countertrading_13.1.B_r3,Transmission Data,Monthly,Countertrading (13.1.B) r3
CrossBorderCapacityForDcLinksIntradayTransferLimits_11.3_r3,Transmission Data,Monthly,Cross-Border Capacity For DC Links Intraday Transfer Limits (11.3)
ExpansionAndDismantlingProjects_9.1_r3,Transmission Data,Yearly,Expansion And Dismantling Projects (9.1)
ForecastedTransferCapacities_11.1_r3,Transmission Data,Monthly,Forecasted Transfer Capacities (11.1)
PhysicalFlows_12.1.G_r3,Transmission Data,Monthly,Physical Flows (12.1.G)
RedispatchingCrossBorder_13.1.A_r2.1,Transmission Data,Monthly,Redispatching Cross-Border (13.1.A) r2.1
RedispatchingCrossBorder_13.1.A_r3,Transmission Data,Monthly,Redispatching Cross-Border (13.1.A) r3
RedispatchingInternal_13.1.A_r2.1,Transmission Data,Monthly,Redispatching Internal (13.1.A) r2.1
RedispatchingInternal_13.1.A_r3,Transmission Data,Monthly,Redispatching Internal (13.1.A) r3
Fallbacks_IF_IN7.2_mFRR3.11_aFRR3.10_r3,Outages Data,Monthly,Fallbacks (IF IN7.2 mFRR3.11 aFRR3.10)
UnavailabilityInTheTransmissionGrid_10.1.A_B_r3,Outages Data,Monthly,Unavailability In The Transmission Grid (10.1.A&B)
UnavailabilityOfConsumptionUnits_7.1.A_B_r3,Outages Data,Monthly,Unavailability Of Consumption Units (7.1.A&B)
UnavailabilityOfOffshoreGrid_10.1.C_r3,Outages Data,Monthly,Unavailability Of Offshore Grid (10.1.C)
UnavailabilityOfProductionAndGenerationUnits_15.1.A_B_C_D_r3,Outages Data,Monthly,Unavailability Of Production And Generation Units (15.1.A/B/C/D)
ActualCapacitiesAndOutlookOnFrequencyRestorationReserveAndReplacementReserve_SOGL_188.3_188.4_189.2_189.3_r3,Balancing Data,Yearly,Actual Capacities And Outlook On Frequency Restoration Reserve And Replacement Reserve (SOGL 188.3/188.4/189.2/189.3)
AggregatedBalancingEnergyBids_12.3.E_r3,Balancing Data,Monthly,Aggregated Balancing Energy Bids (12.3.E)
AmountAndPricesPaidOfBalancingReservesUnderContract_17.1.B_C_r2,Balancing Data,Monthly,Amount And Prices Paid Of Balancing Reserves Under Contract (17.1.B&C) r2
AmountAndPricesPaidOfBalancingReservesUnderContract_17.1.B_C_r3,Balancing Data,Monthly,Amount And Prices Paid Of Balancing Reserves Under Contract (17.1.B&C) r3
BalancingBorderCapacityLimitations_IFs_4.3_4.4_r3,Balancing Data,Monthly,Balancing Border Capacity Limitations (IFs 4.3/4.4)
BalancingEnergyBids_12.3.B_C_r3,Balancing Data,Daily (93 days),Balancing Energy Bids (12.3.B&C)
ChangesToBidAvailability_IFs_mFRR9.9_aFRR9.6_9.8_r3,Balancing Data,Monthly,Changes To Bid Availability (IFs mFRR9.9 aFRR9.6 9.8)
CrossBorderMarginalPriceForAfrrCs_IF_aFRR3.16_r3,Balancing Data,Daily,Cross-Border Marginal Price For aFRR (IF aFRR3.16)
CrossZonalBalancingCapacity_12.3.H_12.3.I_r3,Balancing Data,Monthly,Cross-Zonal Balancing Capacity (12.3.H&I)
CurrentBalancingState_12.3.A_r3,Balancing Data,Monthly,Current Balancing State (12.3.A)
ElasticDemands_IF_mFRR3.4_r3,Balancing Data,Monthly,Elastic Demands (IF mFRR3.4)
ExchangedReserveCapacity_SOGL_190.3_r3,Balancing Data,Yearly,Exchanged Reserve Capacity (SOGL 190.3)
FinancialExpensesAndIncomeForBalancing_17.1.I_r3,Balancing Data,Monthly,Financial Expenses And Income For Balancing (17.1.I)
FrequencyContainmentReserveAmountAndShares_SOGL_187.2_r3,Balancing Data,Yearly,Frequency Containment Reserve Amount And Shares (SOGL 187.2)
ImbalancePrices_17.1.G_r2.1,Balancing Data,Monthly,Imbalance Prices (17.1.G) r2.1
ImbalancePrices_17.1.G_r3,Balancing Data,Monthly,Imbalance Prices (17.1.G) r3
NettedAndExchangedVolumes_IFs_IN3.10_mFRR3.17_r3,Balancing Data,Monthly,Netted And Exchanged Volumes (IFs IN3.10 mFRR3.17)
NettedAndExchangedVolumesAfrr_IFs_aFRR3.16_r3,Balancing Data,Daily,Netted And Exchanged Volumes aFRR (IFs aFRR3.16)
NettedAndExchangedVolumesPerBorder_IFs_IN3.10_mFRR3.17_r3,Balancing Data,Monthly,Netted And Exchanged Volumes Per Border (IFs IN3.10 mFRR3.17)
NettedAndExchangedVolumesPerBorderAfrr_IFs_aFRR3.16_r3,Balancing Data,Daily,Netted And Exchanged Volumes Per Border aFRR (IFs aFRR3.16)
PermanentAllocationLimitations_IFs_4.5_r3,Balancing Data,Monthly,Permanent Allocation Limitations (IFs 4.5)
PricesOfActivatedBalancingEnergy_17.1.F_r3,Balancing Data,Monthly,Prices Of Activated Balancing Energy (17.1.F)
ProcuredBalancingCapacity_12.3.F_r3,Balancing Data,Monthly,Procured Balancing Capacity (12.3.F)
SharingOfReplacementReserveAndFrequencyRestorationReserve_SOGL_190.1_r3,Balancing Data,Yearly,Sharing Of Replacement Reserve And Frequency Restoration Reserve (SOGL 190.1)
SharingОfFrequencyContainmentReserveBetweenSynchronousAreas_SOGL_190.2_r3,Balancing Data,Yearly,Sharing Of Frequency Containment Reserve Between Synchronous Areas (SOGL 190.2)
TotalImbalanceVolumes_17.1.H_r3,Balancing Data,Monthly,Total Imbalance Volumes (17.1.H)
ResultsOfTheCriteriaApplicationProcess_SOGL_185.4_r3,Operations Data,Yearly,Results Of The Criteria Application Process (SOGL 185.4)
OtherMarketInformation_r3,Other Market Information,Yearly,Other Market Information
